course_id,course_name,prodi,sks,course_time_minute,course_type,teacher_priority,teacher_position,teacher_id
CIT61021,Data Warehouse,Teknologi Informasi,3,100,Pilihan,1,"Pengelola, Pengampu",73
CSD60706,Administrasi Basis Data,Sistem Informasi,3,100,Wajib,1,Pengampu,75
CSD60706,Administrasi Basis Data,Teknologi Informasi,3,100,Pilihan,1,Pengampu,75
CIE61208,Basis Data,Pendidikan Teknologi Informasi,3,100,Wajib,1,Pengampu,75
CSD60704,Desain Basis Data,Sistem Informasi,2,100,Wajib,1,Pengampu,75
CIE61206,Jaringan Komputer,Pendidikan Teknologi Informasi,3,100,Wajib,1,Pengampu,75
CIT61015,Jaringan Komputer,Teknologi Informasi,4,100,Wajib,1,Pengampu,75
COM60025,Kalkulus,Teknologi Informasi,2,100,Wajib,2,Pengampu,75
CIE61301,Kalkulus dan Aljabar Linear,Pendidikan Teknologi Informasi,3,100,Wajib,2,Pengampu,75
CIS61106,Keamanan dan Privasi Data,Sistem Informasi,2,100,Wajib,1,Pengampu,75
CIT60044,Keamanan Data dan Privasi,Teknologi Informasi,3,100,Pilihan,1,Pengampu,75
CIT60045,Kriptografi,Teknologi Informasi,3,100,Pilihan,1,Pengampu,75
COM60014,Pemrograman Dasar,Pendidikan Teknologi Informasi,5,100,Wajib,1,Pengampu,75
COM60014,Pemrograman Dasar,Teknologi Informasi,5,100,Wajib,1,Pengampu,75
CIE61205,Pemrograman Web,Pendidikan Teknologi Informasi,3,100,Wajib,1,Pengampu,75
CIS61110,Pengembangan Aplikasi Mobile,Sistem Informasi,3,100,Wajib,1,Pengampu,75
CIT61006,Pengembangan Aplikasi Web,Teknologi Informasi,4,100,Wajib,1,Pengampu,75
CIT60039,Pengembangan Aplikasi Web Lanjut,Teknologi Informasi,3,100,Pilihan,1,Pengampu,75
CIT60033,Sistem Forensik Digital,Teknologi Informasi,3,100,Pilihan,1,Pengampu,75
CIT60036,Teknologi Berbasis Cloud,Teknologi Informasi,3,100,Pilihan,1,Pengampu,75
CIT61024,Teknologi Keamanan Siber,Teknologi Informasi,3,100,Wajib,1,Pengampu,75
COM60061,Capstone Project,Pendidikan Teknologi Informasi,3,100,Wajib,1,Pengampu,76
COM60061,Capstone Project,Teknologi Informasi,3,100,Wajib,1,Pengampu,76
CIS61112,Dasar Manajemen Proyek,Sistem Informasi,2,100,Wajib,1,Pengampu,76
CIS61123,Enterprise Architecture II,Sistem Informasi,3,100,Pilihan,1,Pengampu,76
CIE61404,Manajemen Proyek Teknologi Informasi,Pendidikan Teknologi Informasi,3,100,Pilihan,1,Pengampu,76
COM60014,Pemrograman Dasar,Pendidikan Teknologi Informasi,5,100,Wajib,1,Pengampu,76
COM60014,Pemrograman Dasar,Sistem Informasi,5,100,Wajib,1,Pengampu,76
COM60014,Pemrograman Dasar,Teknologi Informasi,5,100,Wajib,1,Pengampu,76
CIS61113,Sistem Enterprise,Sistem Informasi,3,100,Wajib,1,Pengampu,76
CIE61206,Jaringan Komputer,Pendidikan Teknologi Informasi,3,100,Wajib,1,Pengampu,79
CIT61015,Jaringan Komputer,Teknologi Informasi,4,100,Wajib,1,"Pengelola, Pengampu",79
CSD60713,Jaringan Terapan,Teknologi Informasi,3,100,Pilihan,1,Pengampu,79
CSD60707,Big Data dan Analitik,Teknologi Informasi,3,100,Pilihan,1,Pengampu,80
CIT60048,Information Retrieval,Teknologi Informasi,2,100,Pilihan,1,Pengampu,80
CSD60708,Penambangan Data,Teknologi Informasi,3,100,Pilihan,1,Pengampu,80
COM60014,Pemrograman Dasar,Pendidikan Teknologi Informasi,5,100,Wajib,1,Pengampu,82
COM60014,Pemrograman Dasar,Sistem Informasi,5,100,Wajib,1,Pengampu,82
COM60014,Pemrograman Dasar,Teknologi Informasi,5,100,Wajib,1,Pengampu,82
CIE61205,Pemrograman Web,Pendidikan Teknologi Informasi,3,100,Wajib,1,Pengampu,82
CIT61006,Pengembangan Aplikasi Web,Teknologi Informasi,4,100,Wajib,1,Pengampu,82
COM60016,Pengantar Keilmuan Komputer,Pendidikan Teknologi Informasi,2,100,Pilihan,1,Pengampu,83
COM60016,Pengantar Keilmuan Komputer,Sistem Informasi,2,100,Wajib,1,Pengampu,83
COM60016,Pengantar Keilmuan Komputer,Teknologi Informasi,2,100,Wajib,1,Pengampu,83
CSD60712,Probabilitas dan Statistika,Sistem Informasi,3,100,Wajib,1,Pengampu,83
CIT60033,Sistem Forensik Digital,Teknologi Informasi,3,100,Pilihan,1,Pengampu,83
CSD60702,Sistem Pendukung Keputusan,Pendidikan Teknologi Informasi,3,100,Pilihan,1,Pengampu,83
CIS61112,Dasar Manajemen Proyek,Sistem Informasi,2,100,Wajib,1,Pengampu,87
CIS61123,Enterprise Architecture II,Sistem Informasi,3,100,Pilihan,1,Pengampu,87
COM60052,Etika Profesi,Sistem Informasi,2,100,Wajib,1,"Koordinator Pengelola, Pengelola, Pengampu",87
CIS61115,Komunikasi Profesional,Sistem Informasi,2,100,Wajib,1,Pengampu,87
CIS61103,Manajemen Bisnis,Sistem Informasi,2,100,Wajib,1,Pengampu,87
COM60051,Metodologi Penelitian dan Penulisan Ilmiah,Sistem Informasi,3,100,Wajib,1,"Koordinator Pengelola, Pengelola, Pengampu",87
COM60014,Pemrograman Dasar,Sistem Informasi,5,100,Wajib,1,Pengampu,87
CIS61125,Pengantar GeoInformasi,Sistem Informasi,3,100,Pilihan,1,"Koordinator Pengelola, Pengelola, Pengampu",87
CIS60101,Perkembangan dan Tren Teknologi Digital,Sistem Informasi,2,100,Pilihan,1,Pengampu,87
CSD60712,Probabilitas dan Statistika,Sistem Informasi,3,100,Wajib,1,Pengampu,87
