
--- Running Puma Optimization Algorithm with MLflow Logging ---
POA Generation 299/500 | Current Best Fitness: 1173 | Violations: 2
POA Generation 300/500 | Current Best Fitness: 1173 | Violations: 2
POA Generation 301/500 | Current Best Fitness: 1173 | Violations: 2
POA Generation 302/500 | Current Best Fitness: 1173 | Violations: 2
POA Generation 303/500 | Current Best Fitness: 1173 | Violations: 2
POA Generation 304/500 | Current Best Fitness: 1173 | Violations: 2
POA Generation 305/500 | Current Best Fitness: 1173 | Violations: 2
POA Generation 306/500 | Current Best Fitness: 1173 | Violations: 2
POA Generation 307/500 | Current Best Fitness: 1173 | Violations: 2
POA Generation 308/500 | Current Best Fitness: 1173 | Violations: 2
POA Generation 309/500 | Current Best Fitness: 1173 | Violations: 2
POA Generation 310/500 | Current Best Fitness: 1173 | Violations: 2
POA Generation 311/500 | Current Best Fitness: 1173 | Violations: 2
POA Generation 312/500 | Current Best Fitness: 1173 | Violations: 2
POA Generation 313/500 | Current Best Fitness: 1173 | Violations: 2
POA Generation 314/500 | Current Best Fitness: 1173 | Violations: 2
POA Generation 315/500 | Current Best Fitness: 1173 | Violations: 2
POA Generation 316/500 | Current Best Fitness: 1173 | Violations: 2
POA Generation 317/500 | Current Best Fitness: 1173 | Violations: 2
POA Generation 318/500 | Current Best Fitness: 1173 | Violations: 2
POA Generation 319/500 | Current Best Fitness: 1173 | Violations: 2
POA Generation 320/500 | Current Best Fitness: 1173 | Violations: 2
POA Generation 321/500 | Current Best Fitness: 1173 | Violations: 2
POA Generation 322/500 | Current Best Fitness: 1073 | Violations: 1
POA Generation 323/500 | Current Best Fitness: 1073 | Violations: 1
POA Generation 324/500 | Current Best Fitness: 1073 | Violations: 1
POA Generation 325/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 326/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 327/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 328/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 329/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 330/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 331/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 332/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 333/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 334/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 335/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 336/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 337/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 338/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 339/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 340/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 341/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 342/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 343/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 344/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 345/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 346/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 347/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 348/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 349/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 350/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 351/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 352/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 353/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 354/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 355/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 356/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 357/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 358/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 359/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 360/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 361/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 362/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 363/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 364/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 365/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 366/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 367/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 368/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 369/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 370/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 371/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 372/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 373/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 374/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 375/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 376/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 377/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 378/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 379/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 380/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 381/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 382/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 383/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 384/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 385/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 386/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 387/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 388/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 389/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 390/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 391/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 392/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 393/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 394/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 395/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 396/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 397/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 398/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 399/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 400/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 401/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 402/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 403/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 404/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 405/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 406/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 407/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 408/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 409/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 410/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 411/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 412/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 413/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 414/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 415/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 416/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 417/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 418/500 | Current Best Fitness: 973 | Violations: 0
POA Generation 419/500 | Current Best Fitness: 973 | Violations: 0
