kode_mk,nama_mk,prodi,prioritas,berminat,dosen_id,dosen_list,jenis,ruang,waktu
CIS62110,Perencanaan Strategis Sistem Informasi,Sistem Informasi,1,"Pengelola, Pengampu",6.0,"['6.0', '47.0']",reguler,F3.8,Senin_12:00-12:50
CIS62112,Kecerdasan Bisnis dan Analitik,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",72.0,"['72.0', '94.0', '102.0', '87.0']",reguler,F3.11,Jumat_12:50-13:40
CIS62113,Pola-Pola Perancangan,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",16.0,"['16.0', '4.0', '37.0', '76.0']",reguler,F3.1,Jumat_13:40-14:30
CIS62114,Pengembangan Aplikasi Mobile Lanjut,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",16.0,"['16.0', '60.0', '47.0', '70.0']",reguler,F3.9,Senin_12:00-12:50
CIS62115,Manajemen Investasi Teknologi Informasi,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",94.0,"['94.0', '62.0', '6.0', '13.0', '22.0', '49.0', '60.0', '87.0', '53.0']",reguler,F3.14,Rabu_16:10-17:00
CIS62117,Manajemen Rantai Suplai,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",53.0,"['53.0', '94.0', '22.0', '108.0', 'Belum Ada Dosen']",reguler,F3.16,Kamis_14:30-15:20
CIS62125,GeoInformasi Lanjut,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",11.0,"['11.0', '87.0']",reguler,F3.11,Senin_09:30-10:20
CIS62126,Evaluasi Pengalaman dan Antarmuka Pengguna,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",45.0,"['45.0', '4.0', '12.0', '16.0', '47.0', '55.0', '62.0', '60.0', '83.0', '87.0']",reguler,F3.3,Senin_16:10-17:00
CIT60031,Manajemen Proyek Teknologi Informasi,Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",94.0,"['94.0', '6.0', '13.0', '22.0', '40.0', '48.0']",reguler,F11.1,Kamis_09:30-10:20
CIT60033,Sistem Forensik Digital,Teknologi Informasi,1,"Pengelola, Pengampu",94.0,"['94.0', '35.0', '41.0', '75.0', '83.0']",reguler,F3.8,Selasa_07:00-07:50
