kode_mk,nama_mk,prodi,prioritas,berminat,dosen_id,dosen_list,jenis,ruang,waktu
CIE62306,Pembelajaran Inklusif,Pendidikan Teknologi Informasi,2,Pengampu,59.0,['59.0'],reguler,F3.11,Senin_16:10-17:00
CIE62306,Pembelajaran Inklusif,Pendidikan Teknologi Informasi,2,Pengampu,103.0,['103.0'],reguler,F3.12,Jumat_07:00-07:50
CIE62307,"Sistem Pembelajaran Berbasis Multimedia, Gim, dan Peranti Bergerak",Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",47.0,['47.0'],reguler,F3.7a,Senin_12:50-13:40
CIE62307,"Sistem Pembelajaran Berbasis Multimedia, Gim, dan Peranti Bergerak",Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",103.0,['103.0'],reguler,F4.4,Jumat_11:15-12:05_AGAMA_KHUSUS
CIE62307,"Sistem Pembelajaran Berbasis Multimedia, Gim, dan Peranti Bergerak",Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",16.0,['16.0'],reguler,F9.2,Kamis_17:00-17:50
CIE62307,"Sistem Pembelajaran Berbasis Multimedia, Gim, dan Peranti Bergerak",Pendidikan Teknologi Informasi,2,Pengampu,62.0,['62.0'],reguler,F2.2,Selasa_14:30-15:20
CIE62308,Sistem Pembelajaran Jarak Jauh,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",47.0,['47.0'],reguler,F4.14,Kamis_14:30-15:20
CIE62308,Sistem Pembelajaran Jarak Jauh,Pendidikan Teknologi Informasi,1,Pengampu,16.0,['16.0'],reguler,F2.9,Kamis_09:30-10:20
CIE62401,Inovasi Digital Kompetitif,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",47.0,['47.0'],reguler,F3.15,Rabu_16:10-17:00
CIE62401,Inovasi Digital Kompetitif,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",4.0,['4.0'],reguler,F4.14,Senin_07:00-07:50
CIE62401,Inovasi Digital Kompetitif,Pendidikan Teknologi Informasi,2,Pengampu,6.0,['6.0'],reguler,F4.6,Rabu_09:30-10:20
CIE62401,Inovasi Digital Kompetitif,Pendidikan Teknologi Informasi,2,Pengampu,45.0,['45.0'],reguler,F3.16,Selasa_17:00-17:50
COM60014,Pemrograman Dasar,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",47.0,['47.0'],reguler,F3.13,Selasa_17:00-17:50
COM60014,Pemrograman Dasar,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",4.0,['4.0'],reguler,F3.7a,Kamis_12:00-12:50
COM60014,Pemrograman Dasar,Pendidikan Teknologi Informasi,1,Pengampu,67.0,['67.0'],reguler,F3.15,Senin_17:50-18:40
COM60014,Pemrograman Dasar,Pendidikan Teknologi Informasi,1,Pengampu,75.0,['75.0'],reguler,F3.7a,Jumat_07:50-08:40
COM60014,Pemrograman Dasar,Pendidikan Teknologi Informasi,1,Pengampu,76.0,['76.0'],reguler,F3.15,Kamis_10:20-11:10
COM60014,Pemrograman Dasar,Pendidikan Teknologi Informasi,1,Pengampu,82.0,['82.0'],reguler,F3.7a,Rabu_07:00-07:50
COM60014,Pemrograman Dasar,Pendidikan Teknologi Informasi,1,Pengampu,91.0,['91.0'],reguler,F3.12,Selasa_17:50-18:40
COM60014,Pemrograman Dasar,Pendidikan Teknologi Informasi,2,Pengampu,103.0,['103.0'],reguler,F2.9,Kamis_17:50-18:40
COM60015,Matematika Diskret,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",103.0,['103.0'],reguler,F3.13,Kamis_14:30-15:20
COM60015,Matematika Diskret,Pendidikan Teknologi Informasi,1,Pengampu,100.0,['100.0'],reguler,F3.1,Selasa_14:30-15:20
COM60016,Pengantar Keilmuan Komputer,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",47.0,['47.0'],reguler,F2.8,Jumat_17:50-18:40
COM60016,Pengantar Keilmuan Komputer,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",4.0,['4.0'],reguler,F3.3,Rabu_10:20-11:10
